"Unit_of_Analysis","Coach_ID","Name","Age","Hired","Year","Number_of_Interviews_That_Year","Previous_Job","Previous_Job_Coded","NFL_Playing_Experience","NFL_Coaching_Experience","Total_NFL_Experience","Black","White","Minority","OC","DC","HC"
"Leslie Frazier 2022",73,"Leslie Frazier",62,0,2022,3,"Defensive Coordinator",4,5,24,29,1,0,1,0,1,0
"Lou Anarumo 2022",74,"Lou Anarumo",55,0,2022,1,"Defensive Coordinator",4,0,10,10,0,1,0,0,1,0
"Lovie Smith 2022",75,"Lovie Smith",63,1,2022,1,"Defensive Coordinator",4,0,20,20,1,0,1,0,1,0
"Luke Getsy 2022",76,"Luke Getsy",37,0,2022,1,"Other NFL Job",5,0,7,7,0,0,0,0,0,0
"Marvin Lewis 2020",77,"Marvin Lewis",61,0,2020,2,"Former Head Coach",2,1,27,28,1,0,1,0,0,0
"Marvin Lewis 2021",77,"Marvin Lewis",62,0,2021,2,"Former Head Coach",2,1,27,28,1,0,1,0,0,0
"Matt Eberflus 2019",78,"Matt Eberflus",48,0,2019,1,"Defensive Coordinator",4,0,10,10,0,1,0,0,1,0
"Matt Eberflus 2021",78,"Matt Eberflus",50,0,2021,3,"Defensive Coordinator",4,0,12,12,0,1,0,0,1,0
"Matt Eberflus 2022",78,"Matt Eberflus",51,1,2022,1,"Defensive Coordinator",4,0,13,13,0,1,0,0,1,0
"Matt Lafleur 2018",79,"Matt Lafleur",38,0,2018,1,"Offensive Coordinator",3,0,9,9,0,1,0,1,0,0
"Matt LaFleur 2019",80,"Matt LaFleur",39,1,2019,1,"Offensive Coordinator",3,0,10,10,0,1,0,1,0,0
"Matt Nagy 2018",81,"Matt Nagy",39,1,2018,2,"Offensive Coordinator",3,0,10,10,0,1,0,1,0,0
"Matt Patricia 2016",82,"Matt Patricia",41,0,2016,1,"Defensive Coordinator",4,0,12,12,0,1,0,0,1,0
"Matt Patricia 2017",82,"Matt Patricia",42,0,2017,2,"Defensive Coordinator",4,0,13,13,0,1,0,0,1,0
"Matt Patricia 2018",82,"Matt Patricia",43,1,2018,3,"Defensive Coordinator",4,0,14,14,0,1,0,0,1,0
"Matt Rhule 2018",83,"Matt Rhule",43,0,2018,1,"College Coach",6,0,1,1,0,1,0,0,0,0
"Matt Rhule 2019",83,"Matt Rhule",44,0,2019,1,"College Coach",6,0,1,1,0,1,0,0,0,0
"Matt Rhule 2020",83,"Matt Rhule",45,1,2020,1,"College Coach",6,0,1,1,0,1,0,0,0,0
"Mike McCarthy 2019",84,"Mike McCarthy",55,0,2019,1,"Former Head Coach",2,0,26,26,0,1,0,0,0,0
"Mike McCarthy 2020",84,"Mike McCarthy",56,1,2020,4,"Former Head Coach",2,0,26,26,0,1,0,0,0,0
"Mike McDaniel 2022",85,"Mike McDaniel",38,1,2022,1,"Offensive Coordinator",3,0,15,15,0,0,1,1,0,0
"Mike Mularkey 2016",86,"Mike Mularkey",54,1,2016,1,"Head Coach Previous Season",1,9,21,30,0,1,0,0,0,1
"Mike Munchak 2018",87,"Mike Munchak",57,0,2018,1,"Other NFL Job",5,12,24,36,0,1,0,0,0,0
"Mike Munchak 2019",87,"Mike Munchak",58,0,2019,1,"Other NFL Job",5,12,25,37,0,1,0,0,0,0
"Mike Shanahan 2015",88,"Mike Shanahan",62,0,2015,3,"Former Head Coach",2,0,29,29,0,1,0,0,0,0
"Mike Shanahan 2016",88,"Mike Shanahan",63,0,2016,2,"Former Head Coach",2,0,29,29,0,1,0,0,0,0
"Mike Smith 2016",89,"Mike Smith",56,0,2016,2,"Former Head Coach",2,0,16,16,0,1,0,0,0,0
"Mike Smith 2017",89,"Mike Smith",57,0,2017,2,"Defensive Coordinator",4,0,17,17,0,1,0,0,1,0
"Mike Vrabel 2017",90,"Mike Vrabel",41,0,2017,1,"Other NFL Job",5,14,3,17,0,1,0,0,0,0
"Mike Vrabel 2018",90,"Mike Vrabel",42,1,2018,3,"Defensive Coordinator",4,14,4,18,0,1,0,0,1,0
"Nathaniel Hackett 2021",91,"Nathaniel Hackett",41,0,2021,1,"Offensive Coordinator",3,0,12,12,0,1,0,1,0,0
"Nathaniel Hackett 2022",91,"Nathaniel Hackett",42,1,2022,3,"Offensive Coordinator",3,0,13,13,0,1,0,1,0,0
"Nick Sirianni 2021",92,"Nick Sirianni",39,1,2021,1,"Offensive Coordinator",3,0,12,12,0,1,0,1,0,0
"Pat Shurmur 2015",93,"Pat Shurmur",49,0,2015,2,"Offensive Coordinator",3,0,16,16,0,1,0,1,0,0
"Pat Shurmur 2016",93,"Pat Shurmur",50,0,2016,1,"Former Head Coach",2,0,17,17,0,1,0,0,0,0
"Pat Shurmur 2018",93,"Pat Shurmur",52,1,2018,4,"Offensive Coordinator",3,0,19,19,0,1,0,1,0,0
"Patrick Graham 2022",94,"Patrick Graham",43,0,2022,1,"Defensive Coordinator",4,0,13,13,1,0,1,0,1,0
"Pep Hamilton 2015",95,"Pep Hamilton",40,0,2015,1,"Offensive Coordinator",3,0,9,9,1,0,1,1,0,0
"Perry Fewell 2020",96,"Perry Fewell",57,0,2020,1,"Head Coach Previous Season",1,0,22,22,1,0,1,0,0,1
"Pete Carmichael Jr. 2019",97,"Pete Carmichael Jr.",47,0,2019,1,"Offensive Coordinator",3,0,19,19,0,1,0,1,0,0
"Raheem Morris 2021",98,"Raheem Morris",44,0,2021,2,"Head Coach Previous Season",1,0,18,18,1,0,1,0,0,1
"Raheem Morris 2022",98,"Raheem Morris",45,0,2022,1,"Defensive Coordinator",4,0,19,19,1,0,1,0,1,0
"Ray Horton 2016",99,"Ray Horton",55,0,2016,1,"Defensive Coordinator",4,10,22,32,1,0,1,0,1,0
"Rex Ryan 2015",100,"Rex Ryan",52,1,2015,3,"Former Head Coach",2,0,18,18,0,1,0,0,0,0
"Rich Bisaccia 2022",101,"Rich Bisaccia",61,0,2022,2,"Head Coach Previous Season",1,0,20,20,0,1,0,0,0,1
"Robert Saleh 2020",102,"Robert Saleh",41,0,2020,1,"Defensive Coordinator",4,0,15,15,0,0,1,0,1,0
"Robert Saleh 2021",102,"Robert Saleh",42,1,2021,6,"Defensive Coordinator",4,0,16,16,0,0,1,0,1,0
"Ron Rivera 2020",103,"Ron Rivera",58,1,2020,1,"Former Head Coach",2,9,23,32,0,0,1,0,0,0
"Sean McDermott 2016",104,"Sean McDermott",41,0,2016,2,"Defensive Coordinator",4,0,16,16,0,1,0,0,1,0
"Sean McDermott 2017",104,"Sean McDermott",42,1,2017,2,"Defensive Coordinator",4,0,18,18,0,1,0,0,1,0
"Sean McVay 2017",105,"Sean McVay",31,1,2017,2,"Offensive Coordinator",3,0,8,8,0,1,0,1,0,0
"Shane Waldron 2019",106,"Shane Waldron",39,0,2019,1,"Other NFL Job",5,0,5,5,0,1,0,0,0,0
"Steve Spagnuolo 2016",107,"Steve Spagnuolo",56,0,2016,1,"Defensive Coordinator",4,0,18,18,0,1,0,0,1,0
"Steve Spagnuolo 2018",107,"Steve Spagnuolo",58,0,2018,1,"Head Coach Previous Season",1,0,21,21,0,1,0,0,0,1
"Steve Wilks 2017",108,"Steve Wilks",47,0,2017,1,"Other NFL Job",5,0,12,12,1,0,1,0,0,0
"Steve Wilks 2018",108,"Steve Wilks",48,1,2018,3,"Defensive Coordinator",4,0,13,13,1,0,1,0,1,0
"Tee Martin 2018",109,"Tee Martin",39,0,2018,1,"College Coach",6,2,0,2,1,0,1,0,0,0
"Teryl Austin 2015",110,"Teryl Austin",49,0,2015,4,"Defensive Coordinator",4,0,11,11,1,0,1,0,1,0
"Teryl Austin 2016",110,"Teryl Austin",50,0,2016,5,"Defensive Coordinator",4,0,12,12,1,0,1,0,1,0
"Teryl Austin 2017",110,"Teryl Austin",51,0,2017,2,"Defensive Coordinator",4,0,13,13,1,0,1,0,1,0
"Teryl Austin 2018",110,"Teryl Austin",52,0,2018,1,"Defensive Coordinator",4,0,14,14,1,0,1,0,1,0
"Thomas Brown 2022",111,"Thomas Brown",35,0,2022,1,"Other NFL Job",5,0,2,2,1,0,1,0,0,0
"Todd Bowles 2015",112,"Todd Bowles",51,1,2015,3,"Defensive Coordinator",4,8,17,25,1,0,1,0,1,0
"Todd Bowles 2021",112,"Todd Bowles",57,0,2021,2,"Defensive Coordinator",4,8,23,31,1,0,1,0,1,0
"Todd Bowles 2022",112,"Todd Bowles",58,0,2022,4,"Defensive Coordinator",4,8,24,32,1,0,1,0,1,0
"Todd Monken 2019",113,"Todd Monken",53,0,2019,3,"Offensive Coordinator",3,0,7,7,0,1,0,1,0,0
"Tom Cable 2015",114,"Tom Cable",50,0,2015,1,"Other NFL Job",5,0,9,9,0,1,0,0,0,0
"Tom Cable 2017",114,"Tom Cable",52,0,2017,1,"Other NFL Job",5,0,11,11,0,1,0,0,0,0
"Tom Coughlin 2016",115,"Tom Coughlin",69,0,2016,2,"Former Head Coach",2,0,27,27,0,1,0,0,0,0
"Tom Coughlin 2017",115,"Tom Coughlin",70,0,2017,1,"Former Head Coach",2,0,27,27,0,1,0,0,0,0
"Tony Sparano 2015",116,"Tony Sparano",52,0,2015,1,"Head Coach Previous Season",1,0,16,16,0,1,0,0,0,1
"Urban Meyer 2021",117,"Urban Meyer",56,1,2021,1,"Former Head Coach",2,0,0,0,0,1,0,0,0,0
"Vance Joseph 2015",118,"Vance Joseph",42,0,2015,1,"Other NFL Job",5,2,10,12,1,0,1,0,0,0
"Vance Joseph 2017",118,"Vance Joseph",44,1,2017,1,"Defensive Coordinator",4,2,12,14,1,0,1,0,1,0
"Vance Joseph 2019",118,"Vance Joseph",46,0,2019,1,"Head Coach Previous Season",1,2,14,16,1,0,1,0,0,1
"Vance Joseph 2022",118,"Vance Joseph",49,0,2022,1,"Defensive Coordinator",4,2,17,19,1,0,1,0,1,0
"Vic Fangio 2015",119,"Vic Fangio",56,0,2015,1,"Offensive Coordinator",3,0,28,28,0,1,0,1,0,0
"Vic Fangio 2018",119,"Vic Fangio",59,0,2018,1,"Defensive Coordinator",4,0,31,31,0,1,0,0,1,0
"Vic Fangio 2019",119,"Vic Fangio",60,1,2019,1,"Defensive Coordinator",4,0,32,32,0,1,0,0,1,0
"Vic Fangio 2022",119,"Vic Fangio",63,0,2022,1,"Head Coach Previous Season",1,0,35,35,0,1,0,0,0,1
"Winston Moss 2018",120,"Winston Moss",52,0,2018,1,"Other NFL Job",5,11,12,23,1,0,1,0,0,0
"Zac Taylor 2019",121,"Zac Taylor",35,1,2019,3,"Other NFL Job",5,0,6,6,0,1,0,0,0,0
